Fecha,Año,Mes,Trimestre,Semana,Dia_Semana,Ubicacion,Producto,Descripcion,Ventas_Netas,Ventas_Brutas,Costo_Ventas,Margen_Bruto,Inventario_Total,Transacciones_Count,Precio_Promedio,Ventas_Lag_7D,Promedio_Movil_7D,Indicador_Economico_Local,Gasto_Marketing_Dia,Es_Festivo_Local,Inventario_Rotacion_Diario
01/01/2018,2018,1,1,1,0,LOC_10,Pollo,Pollo,541.28,621.91,271.9,269.38,3137,21,25.78,412.76,798,99.49,15.29,0,0.09
01/01/2018,2018,1,1,1,0,LOC_11,Carne,Carne,991.8,1135.43,617.96,373.84,5900,20,49.59,412.76,541.28,98.88,33.76,0,0.1
01/01/2018,2018,1,1,1,0,LOC_11,Pollo,Pollo,589.98,651.6,380.54,209.44,3912,18,32.78,412.76,991.8,101.26,17.45,0,0.1
01/01/2018,2018,1,1,1,0,LOC_12,Carne,Carne,1020.04,1141.3,625.86,394.18,5769,22,46.37,412.76,589.98,99.02,43.62,0,0.11
01/01/2018,2018,1,1,1,0,LOC_12,Pollo,Pollo,579.05,636.88,319.36,259.69,3693,16,36.19,412.76,1020.04,100.29,16.89,0,0.09
01/01/2018,2018,1,1,1,0,LOC_13,Carne,Carne,1053.31,1174.18,682.86,370.45,8640,20,52.67,412.76,579.05,100.32,16.21,0,0.08
01/01/2018,2018,1,1,1,0,LOC_13,Pollo,Pollo,646.23,728.18,430.68,215.55,3961,22,29.37,412.76,1053.31,98.1,23.61,0,0.11
01/01/2018,2018,1,1,1,0,LOC_14,Carne,Carne,1040.27,1171.03,629.65,410.62,9187,13,80.02,412.76,646.23,99.24,46.65,0,0.07
01/01/2018,2018,1,1,1,0,LOC_14,Pollo,Pollo,664.89,725.54,287.11,377.78,5026,13,51.15,412.76,1040.27,99.87,10.07,0,0.06
01/01/2018,2018,1,1,1,0,LOC_15,Carne,Carne,1120.98,1258.42,670.37,450.61,7993,15,74.73,412.76,664.89,100.26,40.87,0,0.08
01/01/2018,2018,1,1,1,0,LOC_15,Pollo,Pollo,786.12,899.13,314.68,471.44,5831,17,46.24,412.76,1120.98,101.55,39.18,0,0.05
01/01/2018,2018,1,1,1,0,LOC_16,Carne,Carne,1246.88,1367.74,810.74,436.14,7376,19,65.63,412.76,786.12,99.71,21.69,0,0.11
01/01/2018,2018,1,1,1,0,LOC_16,Pollo,Pollo,785.39,852.52,500.43,284.96,7682,14,56.1,412.76,1246.88,100.72,13.08,0,0.07
01/01/2018,2018,1,1,1,0,LOC_17,Carne,Carne,1334.8,1515.43,769.36,565.44,10267,24,55.62,412.76,785.39,101.49,17.39,0,0.07
01/01/2018,2018,1,1,1,0,LOC_17,Pollo,Pollo,766.76,835.89,441.94,324.82,4510,27,28.4,412.76,1334.8,100.71,19.64,0,0.1
01/01/2018,2018,1,1,1,0,LOC_18,Carne,Carne,1319.39,1506.06,817.71,501.68,9053,19,69.44,412.76,766.76,100.8,20.39,0,0.09
01/01/2018,2018,1,1,1,0,LOC_18,Pollo,Pollo,808.95,901.31,334.8,474.15,6556,15,53.93,412.76,1319.39,100.78,35.13,0,0.05
01/01/2018,2018,1,1,1,0,LOC_19,Carne,Carne,1410.78,1569.87,791.26,619.52,12578,15,94.05,412.76,808.95,99.71,42.27,0,0.06
01/01/2018,2018,1,1,1,0,LOC_19,Pollo,Pollo,889.86,1015.29,410.06,479.8,8271,27,32.96,412.76,1410.78,101,10.8,0,0.05
01/01/2018,2018,1,1,1,0,LOC_20,Carne,Carne,1274.68,1393.2,798.83,475.85,10993,13,98.05,412.76,889.86,101.46,12.78,0,0.07
01/01/2018,2018,1,1,1,0,LOC_20,Pollo,Pollo,885.2,958.63,531.37,353.83,7560,20,44.26,412.76,1274.68,100.76,33.74,0,0.07
01/01/2018,2018,1,1,1,0,LOC_21,Carne,Carne,1348.94,1493.36,814.54,534.4,7664,16,84.31,412.76,885.2,99.62,36.58,0,0.11
01/01/2018,2018,1,1,1,0,LOC_21,Pollo,Pollo,956.37,1080.33,543.52,412.85,7223,21,45.54,412.76,1348.94,100.1,32.72,0,0.08
01/01/2018,2018,1,1,1,0,LOC_22,Carne,Carne,1425.6,1553.31,879.7,545.9,12049,25,57.02,412.76,956.37,100.71,21.48,0,0.07
01/01/2018,2018,1,1,1,0,LOC_22,Pollo,Pollo,1054.95,1152.41,509.52,545.43,11361,30,35.16,412.76,1425.6,101.14,18.03,0,0.04
01/01/2018,2018,1,1,1,0,LOC_23,Carne,Carne,1558.79,1774.3,986.58,572.21,9946,21,74.23,412.76,1054.95,98.94,18.66,0,0.1
01/01/2018,2018,1,1,1,0,LOC_23,Pollo,Pollo,1091.5,1193.86,436.82,654.68,9058,21,51.98,412.76,1558.79,99.96,52.31,0,0.05
01/01/2018,2018,1,1,1,0,LOC_24,Carne,Carne,1545.69,1697.56,952.67,593.02,10404,19,81.35,412.76,1091.5,100.91,49.77,0,0.09
01/01/2018,2018,1,1,1,0,LOC_24,Pollo,Pollo,976.82,1096.02,554.19,422.63,9532,21,46.52,412.76,1545.69,98.59,17.3,0,0.06
01/01/2018,2018,1,1,1,0,LOC_25,Carne,Carne,1610.51,1794.18,1069.9,540.61,13997,29,55.53,412.76,976.82,100.93,70.03,0,0.08
01/01/2018,2018,1,1,1,0,LOC_25,Pollo,Pollo,1107.1,1206.31,520.35,586.75,10232,19,58.27,412.76,1610.51,100.99,13.96,0,0.05
02/01/2018,2018,1,1,1,1,LOC_01,Carne,Carne,271.16,302.19,153.19,117.97,1911,11,24.65,412.76,1107.1,98.76,6.69,0,0.08
02/01/2018,2018,1,1,1,1,LOC_01,Pollo,Pollo,210.22,233.39,124.21,86.01,2268,18,11.68,412.76,341.96,100.02,2.21,0,0.05
02/01/2018,2018,1,1,1,1,LOC_02,Carne,Carne,372.03,419.5,214.32,157.71,2920,20,18.6,412.76,222.4,99.7,10.81,0,0.07
02/01/2018,2018,1,1,1,1,LOC_02,Pollo,Pollo,309.43,345.55,128.69,180.74,1872,12,25.79,412.76,422.32,100.4,14.63,0,0.07
02/01/2018,2018,1,1,1,1,LOC_03,Carne,Carne,470.79,531.25,279.65,191.14,2157,20,23.54,412.76,274.81,98.63,19.01,0,0.13
02/01/2018,2018,1,1,1,1,LOC_03,Pollo,Pollo,347.7,391.4,203.66,144.04,2073,9,38.63,412.76,478.88,99.58,11.02,0,0.1
02/01/2018,2018,1,1,1,1,LOC_04,Carne,Carne,530.9,600.36,335.07,195.83,3822,22,24.13,412.76,310,100.67,12.08,0,0.09
02/01/2018,2018,1,1,1,1,LOC_04,Pollo,Pollo,332.51,377.96,142.77,189.74,2253,9,36.95,412.76,507.21,100.22,11.48,0,0.06
02/01/2018,2018,1,1,1,1,LOC_05,Carne,Carne,566.97,638.33,322.98,243.99,3576,20,28.35,412.76,325.36,98.58,16.39,0,0.09
02/01/2018,2018,1,1,1,1,LOC_05,Pollo,Pollo,326.48,355.4,172.62,153.86,3541,15,21.77,412.76,606.57,101.75,5.19,0,0.05
02/01/2018,2018,1,1,1,1,LOC_06,Carne,Carne,552.52,605.9,353.75,198.77,4038,15,36.83,412.76,347.85,101.56,8.52,0,0.09
02/01/2018,2018,1,1,1,1,LOC_06,Pollo,Pollo,362.19,413.12,199.41,162.78,2991,21,17.25,412.76,598.52,100.44,13.68,0,0.07
02/01/2018,2018,1,1,1,1,LOC_07,Carne,Carne,677.09,733.89,378.03,299.06,3400,19,35.64,412.76,445.97,100.62,10.69,0,0.11
02/01/2018,2018,1,1,1,1,LOC_07,Pollo,Pollo,358.84,406.28,226.72,132.12,2716,10,35.88,412.76,606.77,99.58,11.53,0,0.08
02/01/2018,2018,1,1,1,1,LOC_08,Carne,Carne,714.54,820.17,444.01,270.53,4363,15,47.64,412.76,388.88,100.26,11.94,0,0.1
02/01/2018,2018,1,1,1,1,LOC_08,Pollo,Pollo,503.76,558.45,317.27,186.49,4551,14,35.98,412.76,713.26,100.49,17.15,0,0.07
02/01/2018,2018,1,1,1,1,LOC_09,Carne,Carne,825.38,914.67,460.29,365.09,7193,22,37.52,412.76,516.14,99.84,28.05,0,0.06
02/01/2018,2018,1,1,1,1,LOC_09,Pollo,Pollo,376.17,428.84,157.2,218.97,2254,16,23.51,412.76,765.69,100.42,5.56,0,0.07
02/01/2018,2018,1,1,1,1,LOC_10,Carne,Carne,925.28,1029.35,560.28,365,6095,24,38.55,412.76,532.66,100.64,10.13,0,0.09
02/01/2018,2018,1,1,1,1,LOC_10,Pollo,Pollo,511.37,553.98,270.8,240.57,3132,25,20.45,412.76,861.64,100.43,7.6,0,0.09
02/01/2018,2018,1,1,1,1,LOC_11,Carne,Carne,884.89,971.41,531.24,353.65,7753,16,55.31,412.76,526.33,100.77,16.7,0,0.07
02/01/2018,2018,1,1,1,1,LOC_11,Pollo,Pollo,617.47,682.67,315.6,301.87,5032,13,47.5,412.76,938.34,100.33,10.8,0,0.06
02/01/2018,2018,1,1,1,1,LOC_12,Carne,Carne,970.22,1099.04,574.66,395.56,8276,24,40.43,412.76,603.72,99.9,11.78,0,0.07
02/01/2018,2018,1,1,1,1,LOC_12,Pollo,Pollo,655.06,735.99,367,288.06,7174,23,28.48,412.76,995.13,99.48,23.44,0,0.05
02/01/2018,2018,1,1,1,1,LOC_13,Carne,Carne,986.12,1095.8,653.85,332.27,7794,12,82.18,412.76,617.05,100.97,11.69,0,0.08
02/01/2018,2018,1,1,1,1,LOC_13,Pollo,Pollo,684.9,787.62,440.16,244.74,7290,21,32.61,412.76,1019.71,100.74,24.51,0,0.06
02/01/2018,2018,1,1,1,1,LOC_14,Carne,Carne,1134.53,1269.18,719.53,415,7624,26,43.64,412.76,665.56,98.64,51.14,0,0.09
02/01/2018,2018,1,1,1,1,LOC_14,Pollo,Pollo,634.75,725.99,405.26,229.49,6221,25,25.39,412.76,1087.4,99.15,9.51,0,0.07
02/01/2018,2018,1,1,1,1,LOC_15,Carne,Carne,1068.65,1218.33,637.61,431.04,5645,12,89.05,412.76,649.82,99.88,11.31,0,0.11
02/01/2018,2018,1,1,1,1,LOC_15,Pollo,Pollo,738.05,801.94,298.24,439.81,4591,23,32.09,412.76,1094.82,99.99,19.06,0,0.06
02/01/2018,2018,1,1,1,1,LOC_16,Carne,Carne,1065.89,1197.23,707.58,358.31,6442,16,66.62,412.76,762.08,98.31,53.21,0,0.11
02/01/2018,2018,1,1,1,1,LOC_16,Pollo,Pollo,832.98,954.75,444.87,388.11,8181,18,46.28,412.76,1156.39,100.07,14.25,0,0.05
02/01/2018,2018,1,1,1,1,LOC_17,Carne,Carne,1117.66,1253.52,701.15,416.51,9998,23,48.59,412.76,809.18,101.39,17.72,0,0.07
02/01/2018,2018,1,1,1,1,LOC_17,Pollo,Pollo,741.19,813.37,429.22,311.97,6616,18,41.18,412.76,1226.23,100.67,15.04,0,0.06
02/01/2018,2018,1,1,1,1,LOC_18,Carne,Carne,1299.46,1479.89,846.9,452.56,10089,16,81.22,412.76,753.98,99.61,17.5,0,0.08
02/01/2018,2018,1,1,1,1,LOC_18,Pollo,Pollo,929.26,1060.36,518.62,410.64,9182,26,35.74,412.76,1309.43,100.48,40.7,0,0.06
02/01/2018,2018,1,1,1,1,LOC_19,Carne,Carne,1359.47,1478.55,807.54,551.93,6171,20,67.97,412.76,869.1,98.08,43.89,0,0.13
02/01/2018,2018,1,1,1,1,LOC_19,Pollo,Pollo,969.81,1090.01,425.25,544.56,6617,28,34.64,412.76,1385.12,96.78,28.05,0,0.06
02/01/2018,2018,1,1,1,1,LOC_20,Carne,Carne,1390.96,1558.86,897.84,493.12,9499,25,55.64,412.76,929.84,99.6,49.87,0,0.09
02/01/2018,2018,1,1,1,1,LOC_20,Pollo,Pollo,913.91,1024.98,383.07,530.84,8657,18,50.77,412.76,1332.82,100.49,9.65,0,0.04
02/01/2018,2018,1,1,1,1,LOC_21,Carne,Carne,1420.57,1547.6,913.9,506.67,6489,19,74.77,412.76,899.56,100.32,14.26,0,0.14
02/01/2018,2018,1,1,1,1,LOC_21,Pollo,Pollo,1020.68,1121.75,467.96,552.72,8282,25,40.83,412.76,1384.76,99.15,34.7,0,0.06
02/01/2018,2018,1,1,1,1,LOC_22,Carne,Carne,1522.24,1688.8,942.62,579.62,12373,19,80.12,412.76,988.52,100.58,71.86,0,0.08
02/01/2018,2018,1,1,1,1,LOC_22,Pollo,Pollo,851.52,959.77,360.84,490.68,8584,20,42.58,412.76,1473.92,101.59,28.97,0,0.04
02/01/2018,2018,1,1,1,1,LOC_23,Carne,Carne,1529.88,1708.11,1001.73,528.15,10592,24,63.74,412.76,953.24,102.85,30.22,0,0.09
02/01/2018,2018,1,1,1,1,LOC_23,Pollo,Pollo,1033.16,1173.32,612.6,420.56,6774,27,38.27,412.76,1544.34,101.12,38.24,0,0.09
02/01/2018,2018,1,1,1,1,LOC_24,Carne,Carne,1690.34,1866.53,1045.42,644.92,8032,22,76.83,412.76,1062.33,100.17,39.02,0,0.13
02/01/2018,2018,1,1,1,1,LOC_24,Pollo,Pollo,1120.94,1226.48,716.87,404.07,8961,28,40.03,412.76,1618.02,98.82,38.01,0,0.08
02/01/2018,2018,1,1,1,1,LOC_25,Carne,Carne,1728.84,1986.5,962.15,766.69,10629,28,61.74,412.76,1048.88,102.06,17.59,0,0.09
02/01/2018,2018,1,1,1,1,LOC_25,Pollo,Pollo,1074.06,1187.8,548.55,525.51,7499,29,37.04,412.76,1669.68,98.65,14.11,0,0.07
03/01/2018,2018,1,1,1,2,LOC_01,Carne,Carne,310.6,347.95,187.72,122.88,1469,18,17.26,412.76,1090.58,99.81,14.97,0,0.13
03/01/2018,2018,1,1,1,2,LOC_01,Pollo,Pollo,222.88,241.77,135.55,87.33,1709,20,11.14,412.76,331.51,101.48,8.31,0,0.08
03/01/2018,2018,1,1,1,2,LOC_02,Carne,Carne,451.5,499.36,277.62,173.88,3941,20,22.58,412.76,222.56,99.6,21.66,0,0.07
03/01/2018,2018,1,1,1,2,LOC_02,Pollo,Pollo,298.78,324.45,189.7,109.08,3229,19,15.73,412.76,432.05,100.05,6.55,0,0.06
03/01/2018,2018,1,1,1,2,LOC_03,Carne,Carne,508.83,571.37,313.1,195.73,3251,12,42.4,412.76,282.8,100.58,13.15,0,0.1
03/01/2018,2018,1,1,1,2,LOC_03,Pollo,Pollo,350.58,380.75,153.17,197.41,2716,21,16.69,412.76,488.86,100.05,7.48,0,0.06
03/01/2018,2018,1,1,1,2,LOC_04,Carne,Carne,520.78,598.27,323.31,197.47,4123,17,30.63,412.76,323.53,101.89,19.66,0,0.08
03/01/2018,2018,1,1,1,2,LOC_04,Pollo,Pollo,305.71,335.84,193.85,111.86,3181,10,30.57,412.76,511.73,99.43,11.6,0,0.06
03/01/2018,2018,1,1,1,2,LOC_05,Carne,Carne,617.13,670.22,362.99,254.14,3166,22,28.05,412.76,318.81,101.24,21.39,0,0.11
03/01/2018,2018,1,1,1,2,LOC_05,Pollo,Pollo,326.8,357.91,172.16,154.64,2586,19,17.2,412.76,610.09,99.86,8.35,0,0.07
03/01/2018,2018,1,1,1,2,LOC_06,Carne,Carne,706.6,805.71,425.43,281.17,4442,15,47.11,412.76,340.83,101.24,22.64,0,0.1
03/01/2018,2018,1,1,1,2,LOC_06,Pollo,Pollo,324.5,355.32,130.1,194.4,3527,20,16.23,412.76,634.54,99.61,12.19,0,0.04
03/01/2018,2018,1,1,1,2,LOC_07,Carne,Carne,684.94,786.18,444.22,240.72,5693,18,38.05,412.76,405.48,98.93,19.33,0,0.08
03/01/2018,2018,1,1,1,2,LOC_07,Pollo,Pollo,444.25,487.5,211.82,232.43,3437,17,26.13,412.76,632.83,100.31,10.95,0,0.06
03/01/2018,2018,1,1,1,2,LOC_08,Carne,Carne,635.63,705.44,356.88,278.75,3956,17,37.39,412.76,407.33,100.99,28.4,0,0.09
03/01/2018,2018,1,1,1,2,LOC_08,Pollo,Pollo,509.32,566.79,213.89,295.43,2879,25,20.37,412.76,687.38,100.36,13.36,0,0.07
03/01/2018,2018,1,1,1,2,LOC_09,Carne,Carne,769.18,840.08,453.71,315.47,4718,19,40.48,412.76,513.86,100.66,19.92,0,0.1
03/01/2018,2018,1,1,1,2,LOC_09,Pollo,Pollo,508.12,565.86,292.75,215.37,4208,13,39.09,412.76,766.85,100.76,18.46,0,0.07
03/01/2018,2018,1,1,1,2,LOC_10,Carne,Carne,821.22,908.27,467.51,353.71,4710,10,82.12,412.76,524.48,100.72,13.38,0,0.1
03/01/2018,2018,1,1,1,2,LOC_10,Pollo,Pollo,603.2,687.92,244.36,358.84,5460,21,28.72,412.76,848.17,100.34,8.78,0,0.04
03/01/2018,2018,1,1,1,2,LOC_11,Carne,Carne,968.4,1082.18,624.21,344.19,7775,21,46.11,412.76,551.95,100.33,22.53,0,0.08
03/01/2018,2018,1,1,1,2,LOC_11,Pollo,Pollo,563.18,613.42,326.6,236.58,4619,23,24.49,412.76,948.36,101.29,11.64,0,0.07
03/01/2018,2018,1,1,1,2,LOC_12,Carne,Carne,1019.97,1134.28,678.95,341.02,7428,15,68,412.76,590.21,101.23,34.4,0,0.09
03/01/2018,2018,1,1,1,2,LOC_12,Pollo,Pollo,664.97,763.91,321.76,343.21,4160,16,41.56,412.76,1003.41,99.64,7.08,0,0.08
03/01/2018,2018,1,1,1,2,LOC_13,Carne,Carne,1031.75,1167.4,579.55,452.2,7295,17,60.69,412.76,633.03,101.32,26.5,0,0.08
03/01/2018,2018,1,1,1,2,LOC_13,Pollo,Pollo,627.55,716.64,300.43,327.12,6115,25,25.1,412.76,1023.73,100.98,7.99,0,0.05
03/01/2018,2018,1,1,1,2,LOC_14,Carne,Carne,1059.04,1208.11,649.03,410.01,8902,17,62.3,412.76,652.89,99.47,32.67,0,0.07
03/01/2018,2018,1,1,1,2,LOC_14,Pollo,Pollo,745.54,835.33,389.33,356.21,7572,18,41.42,412.76,1077.95,101.05,31.81,0,0.05
03/01/2018,2018,1,1,1,2,LOC_15,Carne,Carne,1080.34,1177.31,692.98,387.36,8218,13,83.1,412.76,681.73,99.25,32.58,0,0.08
03/01/2018,2018,1,1,1,2,LOC_15,Pollo,Pollo,824.34,898.48,514.93,309.41,7352,21,39.25,412.76,1089.99,99.61,10.81,0,0.07
03/01/2018,2018,1,1,1,2,LOC_16,Carne,Carne,1248.3,1355.09,718.48,529.82,9426,21,59.44,412.76,782.84,99.96,36.28,0,0.08
03/01/2018,2018,1,1,1,2,LOC_16,Pollo,Pollo,667.86,756.19,335.15,332.71,7074,22,30.36,412.76,1187.02,99,27.85,0,0.05
03/01/2018,2018,1,1,1,2,LOC_17,Carne,Carne,1188.64,1358.24,696.1,492.54,5354,20,59.43,412.76,762.08,99.43,16.49,0,0.13
03/01/2018,2018,1,1,1,2,LOC_17,Pollo,Pollo,803.71,872.92,323.67,480.04,5063,20,40.19,412.76,1213.7,102.09,8.79,0,0.06
03/01/2018,2018,1,1,1,2,LOC_18,Carne,Carne,1274.9,1409.14,724.95,549.95,7108,17,74.99,412.76,770.55,101.01,48.64,0,0.1
03/01/2018,2018,1,1,1,2,LOC_18,Pollo,Pollo,874.27,946.16,477.37,396.9,5131,18,48.57,412.76,1297.92,98.22,34.8,0,0.09
03/01/2018,2018,1,1,1,2,LOC_19,Carne,Carne,1484.27,1652.56,891.7,592.57,11198,24,61.84,412.76,870.83,101.98,34.04,0,0.08
03/01/2018,2018,1,1,1,2,LOC_19,Pollo,Pollo,891.34,969.51,521.07,370.27,8232,29,30.74,412.76,1418.17,100.84,28.92,0,0.06
03/01/2018,2018,1,1,1,2,LOC_20,Carne,Carne,1332.78,1516.16,858.48,474.3,10271,13,102.52,412.76,917,99.6,25.88,0,0.08
03/01/2018,2018,1,1,1,2,LOC_20,Pollo,Pollo,944.78,1038.18,400.79,543.99,6266,30,31.49,412.76,1332.81,99.67,10.44,0,0.06
03/01/2018,2018,1,1,1,2,LOC_21,Carne,Carne,1387.35,1532.82,782.49,604.86,9762,14,99.1,412.76,914.63,100.16,19.82,0,0.08
03/01/2018,2018,1,1,1,2,LOC_21,Pollo,Pollo,1026.23,1115.83,504.19,522.04,9783,22,46.65,412.76,1385.62,101.55,10.8,0,0.05
03/01/2018,2018,1,1,1,2,LOC_22,Carne,Carne,1501.88,1719.68,898.74,603.14,11652,29,51.79,412.76,1001.09,101.2,19.78,0,0.08
03/01/2018,2018,1,1,1,2,LOC_22,Pollo,Pollo,959.73,1062.57,450.81,508.92,9449,29,33.09,412.76,1483.24,100.95,35.21,0,0.05
03/01/2018,2018,1,1,1,2,LOC_23,Carne,Carne,1649.62,1839.7,927.77,721.85,10473,26,63.45,412.76,955.4,102.94,64.3,0,0.09
03/01/2018,2018,1,1,1,2,LOC_23,Pollo,Pollo,1055.37,1202.25,663.76,391.61,6689,18,58.63,412.76,1579.43,100.78,15.66,0,0.1
03/01/2018,2018,1,1,1,2,LOC_24,Carne,Carne,1629.64,1761.55,964.78,664.86,14008,29,56.19,412.76,1060.01,99.51,48.63,0,0.07
03/01/2018,2018,1,1,1,2,LOC_24,Pollo,Pollo,1065.27,1191.06,446.76,618.51,9026,23,46.32,412.76,1621.89,101.64,40.72,0,0.05
03/01/2018,2018,1,1,1,2,LOC_25,Carne,Carne,1700.27,1952.49,1055.89,644.38,13646,24,70.84,412.76,1054.34,99.71,75.55,0,0.08
03/01/2018,2018,1,1,1,2,LOC_25,Pollo,Pollo,1192.19,1368.88,735.5,456.69,7609,26,45.85,412.76,1679.87,100.05,48.76,0,0.1
04/01/2018,2018,1,1,1,3,LOC_01,Carne,Carne,364.97,410.1,226.83,138.14,1684,10,36.5,412.76,1124.45,100.7,5.89,0,0.13
04/01/2018,2018,1,1,1,3,LOC_01,Pollo,Pollo,255.75,285.16,131.82,123.93,2628,18,14.21,412.76,339.87,98.74,4.34,0,0.05
04/01/2018,2018,1,1,1,3,LOC_02,Carne,Carne,372.29,423.33,230.3,141.99,2045,18,20.68,412.76,230.86,100.18,17.45,0,0.11
04/01/2018,2018,1,1,1,3,LOC_02,Pollo,Pollo,152.88,170.44,72,80.88,1078,19,8.05,412.76,417.11,101.03,3.74,0,0.07
04/01/2018,2018,1,1,1,3,LOC_03,Carne,Carne,440.55,490.02,278.04,162.51,2438,21,20.98,412.76,250.32,99.76,18.13,0,0.11
04/01/2018,2018,1,1,1,3,LOC_03,Pollo,Pollo,261.16,296.89,132.42,128.74,2253,17,15.36,412.76,476.78,101.83,11.32,0,0.06
04/01/2018,2018,1,1,1,3,LOC_04,Carne,Carne,487.22,533.73,279.48,207.74,2371,20,24.36,412.76,307.94,100.94,9.38,0,0.12
04/01/2018,2018,1,1,1,3,LOC_04,Pollo,Pollo,289.77,316.92,131.42,158.35,2436,15,19.32,412.76,505.6,99.44,11.85,0,0.05
04/01/2018,2018,1,1,1,3,LOC_05,Carne,Carne,589.64,675.92,333.94,255.7,3362,16,36.85,412.76,311.55,100.93,16.22,0,0.1
04/01/2018,2018,1,1,1,3,LOC_05,Pollo,Pollo,291.12,324.67,136.59,154.53,1626,15,19.41,412.76,604.98,97.93,4.53,0,0.08
04/01/2018,2018,1,1,1,3,LOC_06,Carne,Carne,552.89,602.55,315.85,237.04,4803,9,61.43,412.76,328.4,100.43,26.24,0,0.07
04/01/2018,2018,1,1,1,3,LOC_06,Pollo,Pollo,363.73,401.39,149.68,214.05,2850,12,30.31,412.76,614.13,100.12,12.95,0,0.05
04/01/2018,2018,1,1,1,3,LOC_07,Carne,Carne,600.38,685.35,358.1,242.28,3187,15,40.03,412.76,395.04,100.86,13.83,0,0.11
04/01/2018,2018,1,1,1,3,LOC_07,Pollo,Pollo,524.4,599.07,226.41,297.99,4091,23,22.8,412.76,624.72,100.33,6.61,0,0.06
04/01/2018,2018,1,1,1,3,LOC_08,Carne,Carne,693.84,795.39,455.42,238.42,5221,20,34.69,412.76,436.6,99.47,10.46,0,0.09
04/01/2018,2018,1,1,1,3,LOC_08,Pollo,Pollo,460.59,518.23,218.5,242.09,4707,23,20.03,412.76,689,99.5,11.06,0,0.05
04/01/2018,2018,1,1,1,3,LOC_09,Carne,Carne,783.45,890.97,514.41,269.04,4211,22,35.61,412.76,500.54,99.52,33.43,0,0.12
04/01/2018,2018,1,1,1,3,LOC_09,Pollo,Pollo,557.03,606.16,267.84,289.19,4896,22,25.32,412.76,771,100.43,18.79,0,0.05
